date,TrafficCount (#) 
2/5/20 22:30,2304
2/5/20 23:30,1417
2/6/20 0:30,805
2/6/20 1:30,837
2/6/20 2:30,592
2/6/20 3:30,265
2/6/20 4:30,459
2/6/20 5:30,880
2/6/20 6:30,759
2/6/20 7:30,1487
2/6/20 8:30,2774
2/6/20 9:30,15006
2/6/20 10:30,24557
2/6/20 11:30,29829
2/6/20 12:30,18428
2/6/20 13:30,23289
2/6/20 14:30,19632
2/6/20 15:30,18010
2/6/20 16:30,17511
2/6/20 17:30,11610
2/6/20 18:30,9278
2/6/20 19:30,7340
2/6/20 20:30,5159
2/6/20 21:30,3923
2/6/20 22:30,3278
2/6/20 23:30,1712
2/7/20 0:30,1145
2/7/20 1:30,766
2/7/20 2:30,624
2/7/20 3:30,222
2/7/20 4:30,550
2/7/20 5:30,989
2/7/20 6:30,237
2/7/20 7:30,1108
2/7/20 8:30,2775
2/7/20 9:30,5266
2/7/20 10:30,8440
2/7/20 11:30,8609
2/7/20 12:30,6354
2/7/20 13:30,7740
2/7/20 14:30,7164
2/7/20 15:30,6417
2/7/20 16:30,8930
2/7/20 17:30,15459
2/7/20 18:30,12116
2/7/20 19:30,7107
2/7/20 20:30,5652
2/7/20 21:30,2546
2/7/20 22:30,1845
2/7/20 23:30,1453
2/8/20 0:30,643
2/8/20 1:30,613
2/8/20 2:30,446
2/8/20 3:30,393
2/8/20 4:30,259
2/8/20 5:30,352
2/8/20 6:30,104
2/8/20 7:30,330
2/8/20 8:30,144
2/8/20 11:30,517
2/8/20 12:30,669
2/8/20 13:30,1126
2/8/20 14:30,869
2/8/20 15:30,95
2/8/20 16:30,108
2/8/20 17:30,149
2/8/20 18:30,162
2/8/20 19:30,46
2/8/20 20:30,94
2/8/20 21:30,255
2/8/20 22:30,132
2/8/20 23:30,42
2/9/20 0:30,54
2/9/20 1:30,40
2/9/20 2:30,38
2/9/20 3:30,45
2/9/20 4:30,36
2/9/20 5:30,68
2/9/20 6:30,64
2/9/20 7:30,42
2/9/20 8:30,69
2/9/20 9:30,197
2/9/20 10:30,146
2/9/20 11:30,178
2/9/20 12:30,120
2/9/20 13:30,88
2/9/20 14:30,280
2/9/20 15:30,316
2/9/20 16:30,156
2/9/20 17:30,306
2/9/20 18:30,263
2/9/20 19:30,190
2/9/20 20:30,213
2/9/20 21:30,229
2/9/20 22:30,158
2/9/20 23:30,229
2/10/20 0:00,229
2/10/20 0:30,67
2/10/20 1:30,66
2/10/20 2:30,40
2/10/20 3:30,36
2/10/20 4:30,63
2/10/20 5:30,167
2/10/20 6:30,267
2/10/20 7:30,1666
2/10/20 8:30,4383
2/10/20 9:30,8880
2/10/20 10:30,44896
2/10/20 11:30,33526
2/10/20 12:30,40144
2/10/20 13:30,35229
2/10/20 14:30,33390
2/10/20 15:30,30389
2/10/20 16:30,25612
2/10/20 17:30,18694
2/10/20 18:30,16204
2/10/20 19:30,9789
2/10/20 20:30,6629
2/10/20 21:30,4251
2/10/20 22:30,2469
2/10/20 23:30,1479
2/11/20 0:30,1330
2/11/20 1:30,567
2/11/20 2:30,408
2/11/20 3:30,437
2/11/20 4:30,315
2/11/20 5:30,1113
2/11/20 6:30,989
2/11/20 7:30,3260
2/11/20 8:30,9541
2/11/20 9:30,28225
2/11/20 10:30,40137
2/11/20 11:30,45319
2/11/20 12:30,31519
2/11/20 13:30,30071
2/11/20 14:30,32002
2/11/20 15:30,26354
2/11/20 16:30,21767
2/11/20 17:30,16655
2/11/20 18:30,12779
2/11/20 19:30,6892
2/11/20 20:30,4791
2/11/20 21:30,3779
2/11/20 22:30,2827
2/11/20 23:30,1251
2/12/20 0:30,601
2/12/20 1:30,585
2/12/20 2:30,412
2/12/20 3:30,587
2/12/20 4:30,569
2/12/20 5:30,900
2/12/20 6:30,965
2/12/20 7:30,2969
2/12/20 8:30,7874
2/12/20 9:30,19646
2/12/20 10:30,36499
2/12/20 11:30,38630
2/12/20 12:30,26616
2/12/20 13:30,26379
2/12/20 14:30,26420
2/12/20 15:30,23984
2/12/20 16:30,16922
2/12/20 17:30,15365
2/12/20 18:30,11737
2/12/20 19:30,7619
2/12/20 20:30,3689
2/12/20 21:30,3209
2/12/20 22:30,2145
2/12/20 23:30,1127
2/13/20 0:30,829
2/13/20 1:30,596
2/13/20 2:30,344
2/13/20 3:30,290
2/13/20 4:30,627
2/13/20 5:30,705
2/13/20 6:30,1651
2/13/20 7:30,3400
2/13/20 8:30,9702
